word,rd,r,n,min,max,year
girandole,2,,4,2,6,2010
retrocedence,2,,4,3,5,2012
minatory,2,,3,2,4,2011
parvitude,2,,3,2,4,2010
kinura,2,,3,2,8,2011
entrecote,2,,3,1,13,2005
lecithin,2,,3,1,3,2010
parterre,2,,3,2,11,2004
tendresse,2,,3,1,7,2006
deuteranopia,2,,3,1,2,2011
toile,2,E,3,4,5,2009
quatorzain,2,,3,1,2,2006
dirigible,2,,3,2,3,2012
menagerie,2,,3,3,3,2012
roux,2,,3,2,7,2008
maillot,2,,3,1,4,2011
samizdat,2,,2,4,8,2010
hircocervus,2,,2,2,5,2009
rubefacient,2,,2,2,4,2005
mordacious,2,,2,2,4,2012
ichneumon,2,,2,1,5,2006
apoplexy,2,,2,1,3,2011
rogatory,2,,2,2,3,2012
maquiladora,2,,2,2,3,2009
rimulose,2,,2,4,5,2004
requiem,2,,2,3,3,2012
languorous,2,E,2,2,3,2008
toccata,2,,2,4,4,2006
coscinomancy,2,,2,2,2,2011
reliquiae,2,,2,6,8,2006
talipot,2,,2,6,7,2009
auricular,2,,2,2,3,2011
recumbentibus,2,,2,1,2,2006
rasceta,2,,2,2,3,2010
quokka,2,E,2,1,2,2005
quidnunc,2,,2,1,4,2003
politeia,2,,2,2,9,2006
plumassier,2,,2,9,11,2005
piccata,2,E,2,1,1,2001
tachyon,2,,2,3,5,2011
zymurgy,2,,2,3,5,2009
embololalia,2,,2,2,2,2011
engastrimythic,2,,2,3,5,2012
epistolary,2,E,2,1,3,2012
volucrine,2,,2,1,2,2004
paristhmion,2,E,2,2,3,2011
exogenous,2,,2,3,3,2016
palatinate,2,,2,1,1,2003
anabolic,2,,2,2,3,2012
syndicate,2,,2,2,2,2012
ophiolatry,2,,2,1,1,2002
onerous,2,E,2,1,3,2006
syllabus,2,,2,1,2,2012
filipendulous,2,,2,4,5,2003
svengali,2,,2,4,5,2004
anadromous,2,,2,1,4,2002
foliicolous,2,,2,1,2,2006
suivez,2,,2,1,6,2006
spondylitis,2,,2,1,6,2005
omodynia,2,,2,3,5,2009
uvula,2,,2,3,4,2004
sartorial,2,,2,2,3,2008
gneiss,2,,2,6,6,2005
ursine,2,,2,2,2,2010
niveau,2,,2,3,7,2009
santeria,2,,2,1,5,2009
neurasthenic,2,E,2,1,3,2010
mycetophagous,2,,2,3,6,2011
koine,2,,1,18,18,2006
baculiform,2,,1,1,1,2000
ballotage,2,,1,3,3,2016
basilisk,2,,1,2,2,2012
brevicaudate,2,,1,3,3,2008
capoeira,2,,1,14,14,2011
caulicolous,2,E,1,6,6,2002
cinephile,2,,1,2,2,2012
convivial,2,,1,3,3,2007
coreopsis,2,,1,6,6,1999
croquembouche,2,,1,1,1,2002
dactylology,2,,1,4,4,1997
decumbiture,2,,1,4,4,1997
distinguo,2,,1,3,3,2010
embezzlement,2,,1,2,2,2012
eristic,2,E,1,6,6,1999
fastuous,2,,1,2,2,2010
fauve,2,,1,6,6,2006
fibula,2,,1,3,3,1999
flageolet,2,,1,5,5,2008
florilegium,2,,1,1,1,2000
fretum,2,,1,4,4,2005
gigabyte,2,,1,1,1,1997
glaciarium,2,,1,2,2,2011
glitterati,2,,1,3,3,2009
googol,2,,1,2,2,2012
guayabera,2,,1,14,14,2009
hesthogenous,2,E,1,4,4,2011
homicide,2,,1,2,2,2009
hypallage,2,,1,9,9,2009
imprecatory,2,,1,3,3,2010
impromptu,2,,1,2,2,2007
incipient,2,,1,3,3,2006
infundibuliform,2,,1,7,7,2010
keynesian,2,,1,1,1,2002
krakowiak,2,E,1,1,1,2001
lambdacism,2,E,1,4,4,2007
lampyrid,2,,1,5,5,2003
lepidopterist,2,,1,1,1,1999
lobscouse,2,,1,3,3,2012
lorikeet,2,,1,2,2,2012
luddite,2,,1,3,3,2010
mangonel,2,,1,1,1,2003
mariculture,2,,1,2,2,2012
meridian,2,,1,3,3,2006
nilpotent,2,,1,3,3,2012
notturno,2,E,1,9,9,2005
ocotillo,2,E,1,6,6,2007
ommatophore,2,,1,3,3,2009
onomasticon,2,E,1,2,2,2008
onychomycosis,2,,1,5,5,2007
optimum,2,,1,2,2,2009
pahoehoe,2,,1,1,1,2001
panary,2,,1,4,4,2004
papyrology,2,,1,3,3,2007
paraquat,2,,1,4,4,1999
perceptible,2,,1,2,2,2008
phosphorus,2,,1,3,3,2012
plesiobiosis,2,,1,4,4,2005
pointillage,2,,1,2,2,2011
polydactyly,2,,1,3,3,2001
primatologist,2,,1,2,2,2000
prosopography,2,,1,4,4,2007
psychomachy,2,,1,4,4,2000
radiolarian,2,,1,2,2,2016
regurgitant,2,,1,2,2,2010
renminbi,2,,1,6,6,2011
rhabdoid,2,,1,4,4,2001
rhea,2,,1,4,4,2006
rialto,2,,1,3,3,2010
ronin,2,,1,3,3,2009
roseola,2,,1,1,1,1998
rotulet,2,,1,2,2,2004
ruritanian,2,,1,2,2,2010
savoyard,2,,1,3,3,2009
scaturient,2,,1,1,1,2000
scilicet,2,,1,7,7,2009
scrobiculate,2,,1,1,1,2002
simoniacal,2,,1,2,2,2010
singultus,2,,1,2,2,2006
somatotype,2,,1,4,4,1999
sphacelated,2,,1,9,9,2006
spiracle,2,,1,4,4,1996
splanchnology,2,E,1,7,7,2001
stentorophonic,2,,1,3,3,2010
stephanotis,2,E,1,1,1,2003
stillatitious,2,,1,2,2,2006
tandoori,2,,1,1,1,2003
tectonosphere,2,,1,3,3,2011
telharmonium,2,,1,3,3,2016
tetrapteran,2,,1,2,2,2008
titian,2,,1,2,2,2005
toponymic,2,,1,3,3,2004
totipalmate,2,,1,5,5,2006
turpentine,2,,1,2,2,2001
vacuole,2,,1,2,2,2011
vellum,2,,1,3,3,1999
websterian,2,,1,2,2,2012
differentiate,3,,2,2,3,2007
deracinated,3,,2,1,1,2001
perspicacious,3,,2,1,3,2002
reiterate,3,,2,2,2,2008
plangent,3,,2,3,3,2005
beneficent,3,E,2,1,3,2007
penitentiary,3,,2,3,3,2000
transhumance,3,,2,3,4,2005
dietetic,3,E,1,3,3,1996
peremptory,3,,1,3,3,1997
rappel,3,E,1,2,2,2010
emulsify,3,E,1,2,2,2008
sporadically,3,,1,1,1,1997
cannoli,3,E,1,2,2,2005
conveyance,3,,1,2,2,2010
conurbation,3,E,1,3,3,1996
thimblerig,3,E,1,2,2,2008
secession,3,E,1,2,2,2000
annuity,3,,1,2,2,1998
succulent,3,,1,2,2,1996
procrastinate,3,,1,2,2,2009
buffoonery,3,,1,2,2,1999
dissolution,3,E,1,2,2,2000
unbudgeable,3,,1,2,2,2001
linnet,3,E,1,5,5,2003
liquefaction,3,,1,3,3,1997
vicissitudes,3,,1,3,3,1998
taciturnity,3,,1,3,3,2004
rhubarb,3,E,1,2,2,2007
archaism,3,,1,1,1,1997
contrariwise,3,,1,3,3,1997
fallacy,3,,1,2,2,2008
complementary,3,E,1,2,2,1998
oligarchy,3,E,1,3,3,2001
gratinate,3,,1,1,1,1998
gumptious,3,,1,2,2,2008
ruction,3,,1,1,1,1998
napoleon,3,,1,2,2,2009
horologist,3,E,1,1,1,2000
appeased,3,E,1,2,2,1998
illimitable,3,,1,3,3,1999
dissentient,3,E,1,4,4,1997
similitude,3,,1,2,2,1998
incinerate,3,,1,2,2,1997
mackinaw,3,E,1,4,4,2000
accumbent,3,,1,12,12,1997
vespertine,3,,1,4,4,1997
ligature,3,,1,2,2,2010
purlieu,4,,5,1,4,2009
auteur,4,E,3,1,3,2012
alopecia,4,,3,1,3,2011
causerie,4,,2,5,5,2006
catafalque,4,,2,2,5,2005
obliviscence,4,E,2,3,6,2006
obmutescence,4,,2,4,4,2005
pastiche,4,,2,5,5,2000
sphygmogram,4,,1,1,1,2003
ferriferous,4,,1,5,5,2000
anamnesis,4,,1,2,2,2005
outarde,4,,1,5,5,2008
poinciana,4,,1,3,3,2003
desman,4,E,1,2,2,2005
whirlicote,4,,1,4,4,2011
arachnophagous,4,,1,2,2,2004
esculent,4,,1,4,4,1996
staphylotomy,4,,1,5,5,2007
nepenthe,5,,4,1,9,2010
toreutics,5,E,3,4,6,2006
sylloge,5,,2,2,4,2012
pterylosis,5,,2,2,5,2009
solfeggio,5,,1,7,7,2003
choucroute,5,,1,2,2,2005
strepsiceros,5,,1,2,2,2006
sbrinz,5,,1,6,6,2003
warison,5,E,1,6,6,2004
panettone,5,E,1,7,7,1998
subauditur,6,E,2,2,3,2010
coulisse,6,,2,2,4,2012
hudibrastic,6,,1,8,8,2004
marquisette,6,,1,4,4,2004
apparentement,6,,1,2,2,2006
filasse,6,E,1,2,2,2012
deruta,6,,1,2,2,2005
bottega,6,,1,4,4,2007
piatti,6,E,1,3,3,2009
skeuomorph,7,,3,2,6,2009
girolle,7,,1,7,7,2007
ptosis,7,,1,1,1,2002
ericeticolous,7,,1,9,9,2012
seiche,7,,1,1,1,2001
devastavit,7,,1,7,7,2005
phthisiology,8,,2,1,8,2012
izzat,10,,2,3,17,2012
aepyornis,11,,1,3,3,2010
rinkafadda,12,,1,1,1,2003
korrigan,14,,2,1,2,2006
cavaquinho,18,,1,2,2,2006
tasajillo,19,,1,2,2,2006
konditorei,21,,2,1,2,2006
voussoir,22,,2,5,9,2009
heiligenschein,22,,1,11,11,2006
chitarrino,24,,1,2,2,2006
boyg,29,,1,2,2,2005
