length,err,n
3,0.667,3
4,0.236,106
5,0.257,529
6,0.259,1129
7,0.264,1680
8,0.267,2004
9,0.242,2267
10,0.255,1953
11,0.279,1369
12,0.257,873
13,0.231,463
14,0.296,159
15,0.208,48
16,0.412,17
17,0.500,6
19,0.000,1
21,0.000,1
